OSM
Vienna.graphml
3837034533 419713086
127354027 1181637185
60211849 2011350211
1437967 1709304082
226618998 1174014300
33208080 320214159
2500431022 363186963
129942063 322708004
162757388 31259994
59987015 1839840819
1738537164 166270160
248167467 1730435419
248167375 30675734
351724045 93943551
129545471 99157371
1181637398 319500093
260604316 86113872
61832004 139376964
1676206200 84293700
59838055 270510951
521490 221436215
274590495 47997975
274992518 92418391
69240143 270510882
105775557 123704797
3586453883 2376485855
60732594 1986051
60016984 283085549
82455544 34978482
174902626 321842324
83497239 47997776
1973858583 1596670914
301699032 3206344696
16055012 381447
2031964366 3904409054
1843014822 4089564530
33242162 1698308197
31900456 2500431288
60058461 224374908
268703575 4546538
4125815881 43510457
274590504 592650201
255931224 685102
479071 248525008
33143834 353676759
82457315 130022909
33236690 32637442
47046893 99951335
75233888 66900723
90192010 48220138
83485285 127388713
